Username,Password,hasDriverLicense,LicenseDuration,PenaltyPoints,Gender,id
Mitch,password,yes,yes,8,male,A1b2C3
Rio,password,no,no,0,female,D4e5F6
Back,password,yes,yes,6,male,G7h8I9
Bazza,password,no,no,0,male,J1K2L3
Oisin,password,yes,yes,5,male,M4N5O6
Mitchhh,password,yes,yes,2,male,P7Q8R9
Mitchhhh,password,yes,no,3,female,S1T2U3
MeSmall,password,yes,no,6,male,V4W5X6
MeLala,password,yes,no,0,male,Y1Z2a3
Mahir,password,yes,yes,0,male,b4c5d6
Mia,password,yes,yes,8,male,e7f8g9
PaulBarrett,password,yes,yes,0,male,h1i2j3
MahirJha,password,yes,yes,0,male,k4l5m6
JhaMahir,password,yes,yes,0,male,n7o8p9
Kealan,password,yes,yes,1,male,q1r2s3
Trey,password,no,no,0,male,t4u5v6
Niall,password,no,no,0,female,w7x8y9
Kiara,password,yes,yes,9,male,z1A2B3
Micheal Mulcahy,password,yes,yes,1,male,C4D5E6
Helo,password,no,no,0,male,F7G8H9
jj,password,yes,yes,3,male,I1J2K3
ahsdkaj,password,yes,5+ years,0,male,ab9862f
aiujdh,password,yes,5+ years,0,male,86ea695
